sample_output_rna	sample_output_ribo
ENST00000400375	0	0
ENST00000391621	0	0
ENST00000391620	0	0
ENST00000400374	0	0
ENST00000400372	0	0
ENST00000400368	0	0
ENST00000380102	0	0
ENST00000334662	0	0
ENST00000397911	0	0
ENST00000380095	0	0
ENST00000334670	0	0
ENST00000391618	0	0
ENST00000397907	0	0
ENST00000360770	0	0
ENST00000391617	0	0
ENST00000400365	0	0
ENST00000345496	0	0
ENST00000330942	1470.74	6689.530388
ENST00000478200	1671.71	15659.071532
ENST00000397898	317.065	303.738723
ENST00000332859	17213.5	32948.258054
ENST00000397893	665.274	1613.784307
ENST00000411651	0	0
ENST00000397887	1820.3	4320.875984
ENST00000330938	4454.15	10262.022043
ENST00000397886	446.645	1034.642912
ENST00000445724	1794.7	1108.421680
ENST00000397852	831.493	549.310247
ENST00000397857	831.493	549.310247
ENST00000397854	0	0
ENST00000355153	831.493	549.310247
ENST00000397850	831.494	549.314953
ENST00000523323	0	0
ENST00000320216	0	0
ENST00000523663	0	0
ENST00000522931	0	0
ENST00000517563	5524.7	4532.715197
ENST00000520389	0	0
ENST00000517819	634.905	613.140156
ENST00000397846	0	0
ENST00000302347	831.494	549.314953
ENST00000397841	85.5328	0.000000
ENST00000330551	44.5237	0.000000
ENST00000380070	90.6151	0.000000
ENST00000291634	158.039	327.766388
ENST00000397826	1406.58	3210.497000
ENST00000458015	0	0
ENST00000389861	147.74	168.405348
ENST00000492414	143.857	171.207762
ENST00000496664	0	0
ENST00000389863	1564.46	1442.389653
ENST00000348831	143.857	171.207762
ENST00000449478	0.000895896	0.001165
ENST00000360697	0	0
ENST00000539173	0	0
ENST00000600921	0	0
ENST00000596207	0	0
ENST00000331343	0	0
ENST00000334538	262.353	346.048523
ENST00000349485	168.846	192.663884
ENST00000451615	0	0
ENST00000400337	688.945	748.012722
ENST00000355480	0	0
ENST00000342220	814.227	130.679264
ENST00000423214	905.674	134.092216
ENST00000359759	2.49201	23.603029
ENST00000417954	0	0
ENST00000567670	8.60947	11.567825
ENST00000311124	186.637	228.804736
ENST00000380010	80.6423	122.690598
ENST00000427839	19.4566	66.033283
ENST00000443742	0	0
ENST00000485649	0.124597	0.119303
ENST00000400314	106.447	130.706150
ENST00000400310	0	0
ENST00000400309	0	0
ENST00000400308	131.934	88.184762
ENST00000400305	1324.21	964.564713
ENST00000400304	33.3654	42.357324
ENST00000449640	106.447	130.706150
ENST00000601068	0	0
ENST00000593412	0	0
ENST00000361866	1008.18	3535.564624
ENST00000300527	297.801	659.078341
ENST00000436769	0	0
ENST00000409416	453.39	600.470558
ENST00000397763	34.4728	40.834207
ENST00000413758	211.225	208.163212
ENST00000357838	34.4728	40.834207
ENST00000310645	453.391	600.470558
ENST00000291670	67.731	3.482004
ENST00000397748	0	0
ENST00000446405	88.0529	0.000000
ENST00000397746	67.731	3.482004
ENST00000397743	0	0
ENST00000359679	0	0
ENST00000355384	0	0
ENST00000330205	154.469	1853.537853
ENST00000291672	120.879	1058.228599
ENST00000356396	284.014	204.445418
ENST00000397728	284.014	204.445418
ENST00000419093	139.949	0.000000
ENST00000522411	50.7631	34.487294
ENST00000450351	267.314	267.562317
ENST00000457828	1663.58	1360.944059
ENST00000594486	364.966	0.000000
ENST00000397708	401.642	334.395791
ENST00000426537	275.142	684.766333
ENST00000291688	401.643	334.395791
ENST00000397701	301.744	88.544312
ENST00000397694	498.531	102.488770
ENST00000329319	301.744	88.544312
ENST00000339195	573.073	173.470797
ENST00000397692	0	0
ENST00000397691	301.744	88.544312
ENST00000491666	304.542	0.000000
ENST00000397683	0	0
ENST00000417060	0	0
ENST00000397682	0	0
ENST00000291691	0	0
ENST00000397679	0	0
ENST00000397680	0	0
ENST00000397685	0	0
ENST00000359568	240.241	925.172600
ENST00000418394	1424.08	1361.749319
ENST00000400274	9.62879	8.494201
ENST00000457905	103.084	93.820447
ENST00000466639	0	0
ENST00000435722	153.119	144.954276
ENST00000417564	415.357	379.314812
ENST00000318711	0.54215	0.494777
ENST00000427143	117.743	95.384727
ENST00000291700	46507.5	24320.232407
ENST00000367071	917.128	2532.372233
ENST00000397648	46507.5	24320.232407
ENST00000355680	1473.04	610.252600
ENST00000397638	1473.04	610.252600
ENST00000397637	1473.04	610.252600
ENST00000334494	36.9351	4.041085
ENST00000397628	206.837	26.377783
ENST00000440086	0	0
ENST00000455177	3481.43	316.943089
ENST00000458387	958.825	266.168815
ENST00000451211	1738.41	508.261167
ENST00000291705	12021.9	1769.470829
